panelist,count,average
Luke Burbank,2,15.500000
Roxanne Roberts,3,15.000000
Faith Salie,4,14.750000
Maz Jobrani,4,14.250000
Peter Grosz,5,14.200000
Dulcé Sloan,4,13.750000
Mo Rocca,4,13.500000
Adam Burke,8,13.375000
Karen Chee,3,13.333333
Shantira Jackson,4,13.250000
Alzo Slade,3,13.000000
Tom Papa,5,13.000000
Josh Gondelman,6,12.833333
Tom Bodett,2,12.500000
Alonzo Bodden,4,12.500000
Helen Hong,5,12.400000
Emmy Blotnick,3,12.333333
Brian Babylon,3,12.000000
Adam Felber,4,12.000000
Meredith Scardino,2,12.000000
Paula Poundstone,5,11.800000
Hari Kondabolu,5,11.200000
Negin Farsad,9,11.000000
"Roy Blount, Jr.",2,11.000000
Joyelle Nicole Johnson,8,10.875000
Shane O'Neill,3,10.666667
Maeve Higgins,3,4.000000
