panelist,count,average
Tom Papa,2,15.500000
Josh Gondelman,5,14.400000
Emmy Blotnick,3,14.333333
Peter Grosz,7,14.142857
"Roy Blount, Jr.",3,14.000000
Brian Babylon,4,14.000000
Adam Felber,4,14.000000
Alzo Slade,2,14.000000
Tom Bodett,3,13.666667
Maz Jobrani,2,13.500000
Zach Zimmerman,2,13.500000
Helen Hong,3,13.000000
Shane O'Neill,3,13.000000
Paula Poundstone,8,13.000000
Luke Burbank,5,13.000000
Adam Burke,8,12.875000
Faith Salie,5,12.600000
Dulcé Sloan,3,12.333333
Karen Chee,2,12.000000
Hari Kondabolu,8,11.875000
Alonzo Bodden,6,11.666667
Negin Farsad,8,11.375000
Shantira Jackson,6,11.000000
Rachel Coster,4,10.250000
Joyelle Nicole Johnson,8,9.000000
