panelist,count,average
Emmy Blotnick,3,6.000000
Tom Papa,2,6.000000
Josh Gondelman,5,5.800000
Brian Babylon,4,5.750000
Adam Felber,4,5.750000
"Roy Blount, Jr.",3,5.666667
Maz Jobrani,2,5.500000
Alzo Slade,2,5.500000
Zach Zimmerman,2,5.500000
Peter Grosz,7,5.428571
Helen Hong,3,5.333333
Shane O'Neill,3,5.333333
Tom Bodett,3,5.333333
Paula Poundstone,8,5.250000
Adam Burke,8,5.125000
Karen Chee,2,5.000000
Faith Salie,5,5.000000
Luke Burbank,5,5.000000
Dulcé Sloan,3,4.666667
Alonzo Bodden,6,4.666667
Negin Farsad,8,4.625000
Hari Kondabolu,8,4.375000
Shantira Jackson,6,4.166667
Rachel Coster,4,3.750000
Joyelle Nicole Johnson,8,3.375000
